GENESIS-Tabelle: 46251-0006
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
;;;Kfz insgesamt;Krafträder insgesamt;Leichtkrafträder;Motorräder;Pkw insgesamt;Pkw mit Ottomotor;Pkw mit Dieselmotor;Kraftomnibusse insgesamt;Lkw insgesamt;Lkw mit Spezialaufbau;Zugmaschinen insgesamt;Gewöhnliche Zugmaschinen;Sattelzugmaschinen;Ackerschlepper;Übrige Kfz;Wohnmobile;Kfz-Anhänger insgesamt;Kfz-Anhänger zur Lastenbeförderung;Sattelanhänger
01.01.2013;05378;Rheinisch-Bergischer Kreis;192544;15773;-;15322;165198;116298;46343;209;7665;217;3150;-;199;2951;549;1597;17425;11572;316
01.01.2013;05382;Rhein-Sieg-Kreis;388030;30771;-;29839;329711;231391;91751;429;16679;475;9226;-;922;8304;1214;3081;37243;26401;1104
01.01.2013;05512;Bottrop, kreisfreie Stadt;72323;6065;-;5933;62588;48278;12938;62;2731;118;659;-;210;449;218;365;4755;3115;367
01.01.2013;05513;Gelsenkirchen, kreisfreie Stadt;132538;8993;-;8754;115665;88073;25169;253;6248;164;944;-;563;381;435;586;8285;5242;686
01.01.2013;05515;Münster, kreisfreie Stadt;153209;9955;-;9780;132598;87374;42433;296;7457;243;2207;-;505;1702;696;1468;14560;9504;664
01.01.2013;05554;Borken, Landkreis;238856;15386;-;14895;196661;118963;69492;364;13579;799;11571;-;1741;9830;1295;1717;39522;29185;2436
01.01.2013;05558;Coesfeld, Landkreis;149422;11149;-;10798;123221;81051;38712;272;6661;385;7362;-;618;6744;757;1330;23283;16955;963
01.01.2013;05562;Recklinghausen, Landkreis;374066;30493;-;29853;323441;242601;73567;496;13277;500;4999;-;1545;3454;1360;2314;33688;22389;2356
01.01.2013;05566;Steinfurt, Landkreis;289851;20813;-;20203;240498;161022;73631;450;13601;949;13155;-;1900;11255;1334;2336;47162;35457;3049
01.01.2013;05570;Warendorf, Landkreis;183538;13410;-;13062;152919;105951;43332;237;7415;370;8782;-;1035;7747;775;1316;26594;19761;1487
01.01.2013;05711;Bielefeld, kreisfreie Stadt;175572;10870;-;10600;153465;107263;43605;419;8539;409;1664;-;412;1252;615;1448;14287;9233;552
01.01.2013;05754;Gütersloh, Landkreis;241944;15950;-;15422;201840;140778;57797;371;13215;762;9533;-;2337;7196;1035;1689;36302;28324;7044
01.01.2013;05758;Herford, Landkreis;172558;11679;-;11393;147541;107142;37796;202;8517;384;4018;-;664;3354;601;1185;20789;14952;1372
01.01.2013;05762;Höxter, Landkreis;101244;7705;-;7276;81795;56725;23189;197;4128;206;6912;-;376;6536;507;597;15368;12065;608
01.01.2013;05766;Lippe, Landkreis;232024;16355;-;15829;197931;140415;53531;529;9694;388;6610;-;1021;5589;905;1868;30887;22461;1422
01.01.2013;05770;Minden-Lübbecke, Landkreis;219688;13602;-;13148;184098;132343;48226;237;10968;516;9939;-;999;8940;844;1387;31610;24122;1530
01.01.2013;05774;Paderborn, Landkreis;192302;13391;-;12905;161282;108244;49345;323;8297;369;8182;-;1184;6998;827;1323;25075;18916;1781
01.01.2013;05911;Bochum, kreisfreie Stadt;210558;14791;-;14479;183811;136265;44676;264;10048;280;924;-;435;489;720;1119;12191;7442;605
01.01.2013;05913;Dortmund, kreisfreie Stadt;299285;22116;-;21662;260994;189923;66955;389;12805;510;2070;-;1174;896;911;1664;21596;13213;1552
01.01.2013;05914;Hagen, kreisfreie Stadt;105163;8478;-;8269;90036;66431;22542;207;4949;217;1053;-;499;554;440;572;7521;4812;680
01.01.2013;05915;Hamm, kreisfreie Stadt;100544;6713;-;6500;87544;63794;22252;181;4223;188;1535;-;331;1204;348;606;10827;7610;656
01.01.2013;05916;Herne, kreisfreie Stadt;81665;6138;-;5986;71427;55264;14753;205;3308;77;274;-;116;158;313;352;5228;3248;146
01.01.2013;05954;Ennepe-Ruhr-Kreis;216370;19190;-;18701;184408;135158;46222;357;8665;427;3038;-;604;2434;712;1593;17928;11445;1110
01.01.2013;05958;Hochsauerlandkreis;182391;13150;-;12541;151044;101887;46581;422;8123;430;8832;-;826;8006;820;1123;26004;20068;1271
01.01.2013;05962;Märkischer Kreis;274033;21035;-;20281;234772;167948;63345;427;11163;640;5644;-;905;4739;992;1921;25808;17530;1464
01.01.2013;05966;Olpe, Landkreis;96432;7018;-;6738;80374;55394;24082;87;4364;222;4179;-;411;3768;410;487;12142;9326;583
01.01.2013;05970;Siegen-Wittgenstein, Landkreis;194155;15036;-;14536;161285;113158;46363;239;8188;485;8431;-;848;7583;976;1097;23233;17722;1456
01.01.2013;05974;Soest, Landkreis;201715;14542;-;14095;169733;118259;48207;200;8094;391;8111;-;1351;6760;1035;1400;28985;21341;2304
01.01.2013;05978;Unna, Landkreis;251904;20008;-;19558;217765;158335;55505;278;9589;485;3301;-;713;2588;963;1897;23424;15576;1044
01.01.2013;06411;Darmstadt, kreisfreie Stadt;78759;5157;-;5059;68862;45908;22029;156;3635;91;599;-;130;469;350;565;4263;2677;166
01.01.2013;06412;Frankfurt am Main, kreisfreie Stadt;356757;19298;-;18824;313385;187159;122434;565;20372;378;1484;-;312;1172;1653;1239;13809;8461;485
01.01.2013;06413;Offenbach am Main, kreisfreie Stadt;57420;3609;-;3512;50518;35151;14659;100;2642;61;349;-;244;105;202;277;2986;2107;521
01.01.2013;06414;Wiesbaden, kreisfreie Stadt;159055;9942;-;9642;136943;92430;42987;426;7974;381;1686;-;223;1463;2084;697;10011;6333;711
01.01.2013;06431;Bergstraße, Landkreis;188911;16361;-;15895;157519;111922;43714;310;8146;224;5637;-;417;5220;938;1264;18381;13259;632
01.01.2013;06432;Darmstadt-Dieburg, Landkreis;202878;17288;-;16819;169912;119887;47760;123;8957;542;5789;-;1406;4383;809;1379;21625;16322;2295
01.01.2013;06433;Groß-Gerau, Landkreis;171101;13683;-;13350;146917;104868;39830;171;6877;238;2755;-;580;2175;698;993;13687;9880;974
01.01.2013;06434;Hochtaunuskreis;176650;11170;-;10856;154557;100277;52719;239;6940;133;3150;-;405;2745;594;873;10952;7975;466
01.01.2013;06435;Main-Kinzig-Kreis;276923;21627;-;20624;232727;164442;65436;273;12012;436;8915;-;641;8274;1369;1661;27915;21090;760
01.01.2013;06436;Main-Taunus-Kreis;196271;10906;-;10626;172917;110612;60818;151;9778;229;1940;-;157;1783;579;739;9004;6179;188
01.01.2013;06437;Odenwaldkreis;70650;5769;-;5477;57297;40145;16235;130;2890;71;4114;-;97;4017;450;508;9534;7481;131
01.01.2013;06438;Offenbach, Landkreis;224446;16076;-;15729;196040;139624;54008;154;9616;282;1820;-;284;1536;740;1121;14720;10409;369
01.01.2013;06439;Rheingau-Taunus-Kreis;134468;11536;-;11117;112467;78097;33033;112;4752;219;5059;-;86;4973;542;880;13036;9447;117
01.01.2013;06440;Wetteraukreis;207155;16020;-;15217;172786;121334;49292;208;8905;301;8286;-;381;7905;950;1251;21842;16765;627
01.01.2013;06531;Gießen, Landkreis;166153;12361;-;11869;138864;95541;41173;229;8017;342;5849;-;537;5312;833;1123;18270;13880;980
01.01.2013;06532;Lahn-Dill-Kreis;179988;14780;-;14158;150266;104127;44195;145;7337;259;6632;-;447;6185;828;1139;22133;17225;847
